日平均気温,降雪深
10.2,0
16,0
20,0
20,0
15.9,0
9,9
1.1,167
-4.2,193
-6.7,142
-4.7,102
-2.2,132
5.3,14
11.2,0
16.7,0
22.3,0
18.9,0
14.9,0
8.5,5
4.7,0
-2.6,176
-9.5,165
-7.9,81
-1,66
8.1,10
13.4,0
15.5,0
19.9,0
20.2,0
17.2,0
10.3,0
0.9,124
-4.7,254
-6.4,256
-6.5,197
-2.9,95
4.8,11
11.1,0
17.8,0
21.7,0
23.9,0
17.4,0
9.1,3
3,58
-4.7,183
-7.6,194
-8.9,83
-2.8,173
4.2,43
13.9,0
16.7,0
22.1,0
23,0
16.8,0
9,3
1.1,165
-6,272
-9.9,111
-8.2,141
-2.9,50
6.1,1
13.1,0
16.2,0
20.4,0
20,0
14.8,0
9.1,0
2.8,47
-6.6,295
-6.6,125
-3.8,88
0,43
8.5,0
13.2,0
15.5,0
20.3,0
18.6,0
15.5,0
9.7,0
0.5,181
-6.2,218
-7.3,141
-8.2,66
-2.1,24
6.7,3
12.7,0
17.6,0
17.9,0
20.2,0
15.3,0
8.9,0
3,15
-3.5,182
-6.6,128
-4.3,182
-1.7,97
4.5,20
13.5,0
18.3,0
21,0
20.5,0
16.3,0
9.2,6
4.4,78
-4.2,228
-7.7,122
-7.4,106
-1.8,115
4.2,1
9.5,4
18.6,0
19.8,0
22.3,0
16.1,0
10.4,0
2.9,71
-6.8,161
-8.5,180
-5.9,136
-1.1,112
3.2,25
12.1,0
16.1,0
20.6,0
23.4,0
16.2,0
9.2,0
3.7,68
-3.4,146
-5.6,175
-4.8,109
-1.5,66
4.5,6
11.5,0
18.6,0
19.2,0
22,0
16.7,0
8.9,0
1.8,141
-4.1,176
-8.4,152
-7.3,113
0.6,19
7.5,0
11.5,0
16.1,0
21,0
19.8,0
16.8,0
10,0
1,106
-1.7,196
-5.2,116
-5.4,158
-1,103
5.6,0
13.3,0
16.8,0
18.9,0
20.7,0
15.2,0
9.4,0
2.1,61
-4.4,164
-5.1,197
-6.2,102
-2.6,178
3.7,35
11.3,0
19.5,0
22.1,0
23.3,0
17.3,0
9.9,0
2.9,39
-2.4,89
-7.8,197
-4.6,89
-2.1,84
5,17
10,0
16.9,0
21.6,0
22.4,0
17.4,0
9.3,0
3,62
-5.4,174
-9.4,78
-8.1,122
-2.8,79
